ratio,gcf_dome,gcf_anticline_2,gcf_anticline_5,gcf_anticline_10,gcf_flat_dome,gcf_flat_anticline_2,gcf_flat_anticline_5,gcf_flat_anticline_10,gcf_block
1.0,0.335,0.42,0.465,0.51,0.59,0.675,0.7075,0.74,1.0
0.99,0.3385,0.424,0.46925,0.5145,0.59425,0.6785,0.71075,0.743,1.0
0.98,0.342,0.428,0.4735,0.519,0.5985,0.682,0.714,0.746,1.0
0.97,0.3455,0.432,0.47775,0.5235,0.60275,0.6855,0.71725,0.749,1.0
0.96,0.349,0.436,0.482,0.528,0.607,0.689,0.7205,0.752,1.0
0.95,0.3525,0.44,0.48625,0.5325,0.61125,0.6925,0.72375,0.755,1.0
0.94,0.356,0.444,0.4905,0.537,0.6155,0.696,0.727,0.758,1.0
0.93,0.3595,0.448,0.49475,0.5415,0.61975,0.6995,0.73025,0.761,1.0
0.92,0.363,0.452,0.499,0.546,0.624,0.703,0.7335,0.764,1.0
0.91,0.3665,0.456,0.50325,0.5505,0.62825,0.7065,0.73675,0.767,1.0
0.9,0.37,0.46,0.5075,0.555,0.6325,0.71,0.74,0.77,1.0
0.89,0.3745,0.4645,0.512,0.5595,0.63675,0.713,0.743,0.773,1.0
0.88,0.379,0.469,0.5165,0.564,0.641,0.716,0.746,0.776,1.0
0.87,0.3835,0.4735,0.521,0.5685,0.64525,0.719,0.749,0.779,1.0
0.86,0.388,0.478,0.5255,0.573,0.6495,0.722,0.752,0.782,1.0
0.85,0.3925,0.4825,0.53,0.5775,0.65375,0.725,0.755,0.785,1.0
0.84,0.397,0.487,0.5345,0.582,0.658,0.728,0.758,0.788,1.0
0.83,0.4015,0.4915,0.539,0.5865,0.66225,0.731,0.761,0.791,1.0
0.82,0.406,0.496,0.5435,0.591,0.6665,0.734,0.764,0.794,1.0
0.81,0.4105,0.5005,0.548,0.5955,0.67075,0.737,0.767,0.797,1.0
0.8,0.415,0.505,0.5525,0.6,0.675,0.74,0.77,0.8,1.0
0.79,0.42,0.51,0.5575,0.605,0.679,0.7435,0.77325,0.803,1.0
0.78,0.425,0.515,0.5625,0.61,0.683,0.747,0.7765,0.806,1.0
0.77,0.43,0.52,0.5675,0.615,0.687,0.7505,0.77975,0.809,1.0
0.76,0.435,0.525,0.5725,0.62,0.691,0.754,0.783,0.812,1.0
0.75,0.44,0.53,0.5775,0.625,0.695,0.7575,0.78625,0.815,1.0
0.74,0.445,0.535,0.5825,0.63,0.699,0.761,0.7895,0.818,1.0
0.73,0.45,0.54,0.5875,0.635,0.703,0.7645,0.79275,0.821,1.0
0.72,0.455,0.545,0.5925,0.64,0.707,0.768,0.796,0.824,1.0
0.71,0.46,0.55,0.5975,0.645,0.711,0.7715,0.79925,0.827,1.0
0.7,0.465,0.555,0.6025,0.65,0.715,0.775,0.8025,0.83,1.0
0.69,0.471,0.5605,0.60775,0.655,0.71925,0.7785,0.80575,0.833,1.0
0.68,0.477,0.566,0.613,0.66,0.7235,0.782,0.809,0.836,1.0
0.67,0.483,0.5715,0.61825,0.665,0.72775,0.7855,0.81225,0.839,1.0
0.66,0.489,0.577,0.6235,0.67,0.732,0.789,0.8155,0.842,1.0
0.65,0.495,0.5825,0.62875,0.675,0.73625,0.7925,0.81875,0.845,1.0
0.64,0.501,0.588,0.634,0.68,0.7405,0.796,0.822,0.848,1.0
0.63,0.507,0.5935,0.63925,0.685,0.74475,0.7995,0.82525,0.851,1.0
0.62,0.513,0.599,0.6445,0.69,0.749,0.803,0.8285,0.854,1.0
0.61,0.519,0.6045,0.64975,0.695,0.75325,0.8065,0.83175,0.857,1.0
0.6,0.525,0.61,0.655,0.7,0.7575,0.81,0.835,0.86,1.0
0.59,0.53175,0.616,0.6605,0.705,0.76175,0.8135,0.83825,0.863,1.0
0.58,0.5385,0.622,0.666,0.71,0.766,0.817,0.8415,0.866,1.0
0.57,0.54525,0.628,0.6715,0.715,0.77025,0.8205,0.84475,0.869,1.0
0.56,0.552,0.634,0.677,0.72,0.7745,0.824,0.848,0.872,1.0
0.55,0.55875,0.64,0.6825,0.725,0.77875,0.8275,0.85125,0.875,1.0
0.54,0.5655,0.646,0.688,0.73,0.783,0.831,0.8545,0.878,1.0
0.53,0.57225,0.652,0.6935,0.735,0.78725,0.8345,0.85775,0.881,1.0
0.52,0.579,0.658,0.699,0.74,0.7915,0.838,0.861,0.884,1.0
0.51,0.58575,0.664,0.7045,0.745,0.79575,0.8415,0.86425,0.887,1.0
0.5,0.5925,0.67,0.71,0.75,0.8,0.845,0.8675,0.89,1.0
0.49,0.59925,0.676,0.7155,0.755,0.804,0.84825,0.87025,0.893,1.0
0.48,0.606,0.682,0.721,0.76,0.808,0.8515,0.873,0.896,1.0
0.47,0.61275,0.688,0.7265,0.765,0.812,0.85475,0.87575,0.899,1.0
0.46,0.6195,0.694,0.732,0.77,0.816,0.858,0.8785,0.902,1.0
0.45,0.62625,0.7,0.7375,0.775,0.82,0.86125,0.88125,0.905,1.0
0.44,0.633,0.706,0.743,0.78,0.824,0.8645,0.884,0.908,1.0
0.43,0.63975,0.712,0.7485,0.785,0.828,0.86775,0.88675,0.911,1.0
0.42,0.6465,0.718,0.754,0.79,0.832,0.871,0.8895,0.914,1.0
0.41,0.65325,0.724,0.7595,0.795,0.836,0.87425,0.89225,0.917,1.0
0.4,0.66,0.73,0.765,0.8,0.84,0.8775,0.895,0.92,1.0
0.39,0.668,0.73687,0.770935,0.805,0.84425,0.88075,0.897875,0.926,1.0
0.38,0.676,0.74374,0.77687,0.81,0.8485,0.884,0.90075,0.929,1.0
0.37,0.684,0.75061,0.782805,0.815,0.85275,0.88725,0.903625,0.932,1.0
0.36,0.692,0.75748,0.78874,0.82,0.857,0.8905,0.9065,0.935,1.0
0.35,0.7,0.76435,0.794675,0.825,0.86125,0.89375,0.909375,0.938,1.0
0.34,0.708,0.77122,0.80061,0.83,0.8655,0.897,0.91225,0.941,1.0
0.33,0.716,0.77809,0.806545,0.835,0.86975,0.90025,0.915125,0.944,1.0
0.32,0.724,0.78496,0.81248,0.84,0.874,0.9035,0.918,0.947,1.0
0.31,0.732,0.79183,0.818415,0.845,0.87825,0.90675,0.920875,0.95,1.0
0.3,0.74,0.7987,0.82435,0.85,0.8825,0.91,0.92375,0.953,1.0
0.29,0.74875,0.80558,0.83029,0.855,0.8865,0.9135,0.92675,0.955,1.0
0.28,0.7575,0.81246,0.83623,0.86,0.8905,0.917,0.92975,0.957,1.0
0.27,0.76625,0.81934,0.84217,0.865,0.8945,0.9205,0.93275,0.959,1.0
0.26,0.775,0.82622,0.84811,0.87,0.8985,0.924,0.93575,0.961,1.0
0.25,0.78375,0.8331,0.85405,0.875,0.9025,0.9275,0.93875,0.963,1.0
0.24,0.7925,0.83998,0.85999,0.88,0.9065,0.931,0.94175,0.965,1.0
0.23,0.80125,0.84686,0.86593,0.885,0.9105,0.9345,0.94475,0.967,1.0
0.22,0.81,0.85374,0.87187,0.89,0.9145,0.938,0.94775,0.969,1.0
0.21,0.81875,0.86062,0.87781,0.895,0.9185,0.9415,0.95075,0.971,1.0
0.2,0.8275,0.8675,0.88375,0.9,0.9225,0.945,0.95375,0.973,1.0
0.19,0.83675,0.87425,0.889625,0.905,0.92675,0.948,0.956375,0.97675,1.0
0.18,0.846,0.881,0.8955,0.91,0.931,0.951,0.959,0.9785,1.0
0.17,0.85525,0.88775,0.901375,0.915,0.93525,0.954,0.961625,0.98025,1.0
0.16,0.8645,0.8945,0.90725,0.92,0.9395,0.957,0.96425,0.982,1.0
0.15,0.87375,0.90125,0.913125,0.925,0.94375,0.96,0.966875,0.98375,1.0
0.14,0.883,0.908,0.919,0.93,0.948,0.963,0.9695,0.9855,1.0
0.13,0.89225,0.91475,0.924875,0.935,0.95225,0.966,0.972125,0.98725,1.0
0.12,0.9015,0.9215,0.93075,0.94,0.9565,0.969,0.97475,0.989,1.0
0.11,0.91075,0.92825,0.936625,0.945,0.96075,0.972,0.977375,0.99075,1.0
0.1,0.92,0.935,0.9425,0.95,0.965,0.975,0.98,0.9925,1.0
0.09,0.928,0.9415,0.94825,0.955,0.9685,0.9775,0.982,0.99375,1.0
0.08,0.936,0.948,0.954,0.96,0.972,0.98,0.984,0.995,1.0
0.07,0.944,0.9545,0.95975,0.965,0.9755,0.9825,0.986,0.99625,1.0
0.06,0.952,0.961,0.9655,0.97,0.979,0.985,0.988,0.9975,1.0
0.05,0.96,0.9675,0.97125,0.975,0.9825,0.9875,0.99,0.99875,1.0
0.04,0.968,0.974,0.977,0.98,0.986,0.99,0.992,1.0,1.0
0.03,0.976,0.9805,0.98275,0.985,0.9895,0.9925,0.994,1.0,1.0
0.02,0.984,0.987,0.9885,0.99,0.993,0.995,0.996,1.0,1.0
0.01,0.992,0.9935,0.99425,0.995,0.9965,0.9975,0.998,1.0,1.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0

